dialog_key,context,response
MOVDIC-050589,"Oh, you sly thing! It was the Misses Dashwood she wanted to see, not Delaford, Mamma! I have heard nothing but 'Miss Dashwood this, Miss Dashwood that' for I don't know how long! And what do you think of them now you do see them, Lucy? My mother has talked of nothing else in her letters since you came to Barton, Mrs Dashwood. Mr Palmer--are they not the very creatures she describes?
Nothing like.
Why, Mr Palmer! Do you know you are quite rude today? He is to be an MP, you know, Mrs Dashwood, and it is very fatiguing for him for he is forced to make everybody like him-- he says it is quite shocking--
I never said anything so irrational. Don't palm all your abuses of the language upon me.
Here he is! Now you shall see, Charlotte.
How now, Mr Willoughby! You must greet my daughter Charlotte, and Mr Palmer--
How do you do?
And my little cousin, Miss Lucy Steele.
Welcome to our party, Miss Steele!
I know Mr Willoughby extremely well-- not that I ever spoke to him but I have seen him forever in town. Your sister is monstrous lucky to get him. Mamma says Colonel Brandon is in love with her as well, which is a very great compliment for he hardly ever falls in love with anyone.","May I beg a seat beside you, Miss Dashwood? I have so longed to make your better acquaintance! I have heard nothing but the highest praise for you."
DAILYD-008451,"I know I ’ m going to bite the dust going down this hill . I almost got killed on the chair lift ! This is going to be so embarrassing .
Don ’ t worry . Everyone knows you ’ re getting your feet wet . I ’ ll show you how . I bet you ’ ll be proficient at this in five minutes .
This is only your second time skiing . This is definitely a case of the blind leading the blind .
Relax . I can hold my own . Now , point your skis toward the bottom of the hill . Easy does it !
I don ’ t think I can get up enough nerve to do this .",Here . I ’ ll just give you a little push ...
METALW-009918,"Hello how may I help you?
Can you provide me with some factual information on cities please?",Yes what are you interested in?
PERCHT-001931,"hi , how is your day going ?
i am doing well . spending time with my wife and five children . and you ?
good , i just dumped my boyfriend and i am about to paint !",are you an artist ? i love art and animals . i am a veterinarian
METALW-000013,"Hello how may I help you?
help me with insurance
ok. what policy are you inquiring about
for my boat insurance
ok. What can I help you with regarding your boat insurance
how much am i insured for?
you are insured for 50,000
can i add more coverage?
Sure. How much more coverage would you like to add?",i want to add whale strikes coverage
DECODE-002369,"__SILENCE__
are you a cat person ?
are you from california ? because i'm
i love ca , so many vegan restaurant options all over the state
i'm not really , i do not keep pets","i have 23 at my house , you want some ?"
TPCCHT-000888,"do you have a favorite celebrity ?
do youtube personalities that are famous count as a celebrity ? if they do , i really like a dude named michael jones .
that is fine me with , i think celebrity is anyone famous to many people . what does michael jones do ?
he works for a company called roosterteeth , and to be fair they have made 2 movies which he was the main character of both .
interesting i will have to check it out . i wonder how much he makes for those . judge judy makes like 123000 per episode
speaking of judge judy , did you know her bailiff petri hawkins - byrd makes a million per year from that show , pretty crazy since he doesn ' t really do anything haha .
what ! i would love to do that and get paid that much to stand around and be in front of the camera , lol !
yeah that is pretty crazy money for doing literally nothing lol . did you know that robin williams started the trend of celebrities doing voice overs for animation with his role in aladdin ?
i did not know that , i still don ' t get why celebrities need to be in animated films because of their voice , but it was awesome though
for me it really depends on the voice , robin williams was almost made for animated voice acting just because of his range in doing different voices .","yea lol , he was amazing , sad he is with us no longer ! i wonder if he got to visit pixar ' s secret room for celebrities"
TPCCHT-001840,"well that is impressive . as of june 2018 tesla only sells three model vehicles i thought there were more .
me too . they release all of the patents to encourage competition too .
that ' s so cool i wish more companies did that . apparently the tesla model s runs linux .
that is pretty neat , definitely different . maybe that is the secret .
yeah good point . maybe . another cool fact is that the tesla model s can be tested indoors because it doesn ' t produce any emissions .
true , i heard that it was so safe it broke the safety testing equipment too .
wow that ' s pretty cool . ellen musk is such a genius i think he was born in south africa .
he was . he has lived quite the life . he was bullied really bad as a kid , and even beaten to the point he had to be hospitalized .
thats terrible . hopefully canada treated him better .
i think so , after a while he really started to create , some things even worth 340 million .",oh yeah are you referring to the web software company ? that is amazing .
WOWIKI-019020,"Going to ride on a cruise ship is like a vacation in itself, way better than a regular boat.
I have never been on a Cruise! How is it different from a regular boat?
A cruise boat is much larger than a regular boat. Its like a city within a ship.
That sounds amazing! How many cruises have you been on?
I have only been on one cruise which stopped in Jamaica and the Bahamas. Very fun!",I bet it was. What cruise would you suggest to someone like me who has never been on one?
MOVDIC-003861,"You look so well, Clair. A wraith.
You think so!? I've been working out a lot since the baby. And I've been working. And that takes it's toll, you know.
I'm glad that's all over for me.
Don't you miss it?
Never.
Really.
Not for a second. Cal can have all that.",Really?
DECODE-033855,"No, it was personal.  I was with my family.  We were flying to Europe.  This was before 9/11.
That's great!  How did you like it?  Apparently New York has the busiest airport system in the US.","That's crazy, right?"
DECODE-030752,"I am excited for baseball playoffs. Are you?
I watch it sometimes, It can be a little slow moving for my taste.
It's slow but you have to savour it like a fancy meal.
I love when it's a tie and goes into extra innings to break it. It really gets exciting then.",Definitely is and for me personally I sometimes don't want the game to end. Do you support a team?
CMUDOG-001204,"Never a bad Spielberg movie. Yes. based on true events. Set in the early
1970s, The Post depicts the true story of attempts by journalists at The Washington Post to publish
the Pentagon Papers, classified documents regarding the 30-year involvement of the United
States government in the Vietnam War.
Yes, true events about the Vietnam War
It's more about a newspaper in the states, but it regards things that happened in the war that they reveal to the public
The movies sounds like there may be some suspense to it based on the journalists decisions
definately. 1st key scene..
Rotten Tomatoes gives it 88%
In 1966 Vietnam, State Department military analyst Daniel Ellsberg accompanies U.S.
troops in combat, documenting the progress of U.S. military activities in the region for
Secretary of Defense Robert McNamara. On the return flight home, McNamara expresses
to Ellsberg and William Macomber his view that the war in Vietnam is hopeless, yet, upon
landing, McNamara expresses his confidence in the war effort. Ellsberg overhears this, and
becomes disillusioned. Years later, now working for the RAND Corporation, a civilian
military contractor, Ellsberg surreptitiously photocopies classified reports documenting the
country's decades-long involvement in the conflict in Vietnam, dating back to the Truman
administration. Ellsberg then leaks these documents to reporters at The New York Times.
and an A for Cinema Score
what's your favorite Speilberg movie?
There are quite a few great actors in The Post. Tom Hanks. Meryl Streep. Bob Odenkirk. Sarah Paulson. I like that this movie is a historical movie.",Yeah. He tends to split his time between historical pieces and more fantasy/scifi movies. he even releases 2 per year sometimes
DAILYD-002321,"Are you ready to order ? May I suggest a veal ?
No , I'll have the fish please .
The chicken is also nice .
No , I want the fish .
Our special tonight is lobster .
Thank you , but I prefer the fish .
Perhaps you'd enjoy the lamb .","No , I like the fish ."
METALW-006784,"Hello how may I help you?
I want information on something.
Sure, I can help with that
I want to know if it's going to rain this weekend.
What is your location?
Houston
No, it will not rain this weekend
Great.
It will mostly sunny will be*
That's all. Thanks.",Have a good day
METALW-025741,"Hello how may I help you?
when does the subway run
Which stop are you looking for that info?
one on 6th ave
The subway will start running at 6AM from 6th avenue
what time is it now
It is currently 1:07 PM
so is it running thenm
Yes, they will be running until 11PM tonight, and then resume again at 6AM tomorrow",ty
MOVDIC-001129,"On your sleeve.
Musta... How'd I know? What're you doing, playing cop?
I gotta make a report to Fish and Game. I was just wondering, that's all. What'd he do, to shoot himself, I mean?
Who the fuck knows? Musta slipped or something. I just heard the gun go off.
I never seen a man shot before. Not even in the service. Must be something.
Well, I didn't actually see him do it. Like I said.
Sure you did.
What?
Saw him do it?
What the fuck you telling me, Wade? I never seen the guy get shot, I told you that.",You musta seen him get shot. I know you did.
WOWIKI-016165,"I love the little mermaid!!
Me too, it was my favorite disney film when I was younger. It came out a year after I was born, in 1989.
What others do you like?
I liked Beauty and the Beast, We're Back, 101 Dalmations and more. But The Little Mermaid was always my favorite. Part of Your World that was sung by Ariel was my favorite song.
they make good songs",Definitely. The soundtrack was great. I loved Ariel's long and flowing bright red hair. She was always so beautiful and intriguing to me as a child.
METALW-004165,"Hello how may I help you?
I need some help managing my contacts.
Sure thing, I can help with that.",Can I edit my contact for Donald Trump?
MOVDIC-001173,"It doesn't get any better than that. You and Rachael were perfect for each other. And naked girls don't just appear out of thin air.  ""I have a math test tomorrow.""
Will you shut up already?  Look, I've been thinking about this all day. We're juniors now. Upperclassmen.
So?
So we have a responsibility to ourselves to start having fun and getting girls. This year is our year.  There's nothing holding us back any more.
You see? That's exactly what I'm talking about. That could be us.
That's not going to be us this year, or next year, or any year, ever.
Why not? All we have to do is follow the simple lessons of Tony Montana in ""Scar Face.""",Ooh. Good movie.
HOLLED-000918,"What do you think about the characters in this movie?
my favorite character was the dog",What do you think about the characters in this movie?
CMUDOG-003947,"It was ok, a little too sappy for my taste, though
Cinemascore was A+ but like you Rotten Tomatoes and Metacritic weren't very thrilled with it either.
I trust a site like rotten tomatoes, just like I trust IMDB
Agreed.  The movie is a good one for children to see, it will give them hope I think.
That makes sense to me, it seemed sort of like a fairy tale, in a way
I really like Sandra Bullock is my reason for liking the movie I guess, she had a good role in adopting the boy.
She did do a fine job in the film
Agreed.  I think it is neat that the boy got signed to the NFL.
Well, first, he got a full ride to college, then the NFL
True.  It had to have been tough being with all those families in foster care and having a mother who is addicted.","True, it certainly did not give him much hope at all"
SWBCOH-000911,"So, uh, you know, my feeling is that, uh, it's really being used today, it, it, you know, it, it really isn't doing any real good purpose for anything because it's not cost effective because of the amount of time the people end up waiting on appeal.
Right, I think I've seen some statistics that say that, uh, it's more expensive to kill somebody than to keep them in prison for life.
Right because you, you've got all, all the prison expenses, plus all the legal expenses.
Right.
Uh, and, you know, it certainly doesn't seem to be a deterrent. Uh, for one thing because it's used so infrequently and for another thing because I honestly don't think the people that are committing the crimes that would be eligible, you know, really care.
Yeah I, I think, I think the, uh
So, you know, but you look at our, our crime rates and things like that and you compare them to, to like Texas or someplace that does, you know, it, it, it's impossible to make a case that it's, it's affecting it in any way.",but this semester I'm only taking one course and so I see MURPHY BROWN and COACH and THE WONDER YEARS. I just make a point of seeing those.
WOWIKI-011683,"Vegetarianism isn't new like many thing, it has roots in India and ancient Greece.
Really? Did they do it for ethical or health reasons back then?
I think it ws about not wanting to harm animals.
That's so interesting, but it almost became more of a fad as the years go on.
Fads are crazy to me, people blindly following an impulse.
Yeah, especially fad diets. They're basically the worst possible diets since they are really hard to adhere to in the long term so you are likely to relapse to your previous way of eating.",Do you think eating eggs or dairy would be ok on that kind of diet?
MOVDIC-037644,"Well, you're the Man out there now, aren't you? It's your call.
That's right.
I been hearing rumors about this new commander coming for a couple weeks now. Boys say they heard he's a real hard case. Spit-and-polish man. Full- bird colonel name of Payne, they say-- Bet you never figured you end up back here.
The Army hands you a command, you go wherever it is.
Right.
I hear things, too. People call you the Mayor of Darktown.
Over the years, this is the one place that's always been there. I loan a little money out, settle some arguments. Got a cot in the back- people get afraid to go home they can spend the night. There's not enough of us to run anything in this town- the white people are mostly out on the lake now and the Mexicans hire each other. There's the Holiness Church and there's Big O's place.
And people make their choice--
A lot of 'em choose both. There's not like a borderline between the good people and the bad people--you're not either on one side or the other-- Del looks away, not wanting to believe this--
I gonna meet that family of yours?",Why would you want to do that?
HOLLED-005993,"What is your opinion about the movie?
I think it was scarier as Jason keeps on getting scarier.
Well Jason has met his match before, going down two-nil to Tommy Jarvis.
Haha, Jason meets his match... again.
This one is different! Her name is Carrie, but for some reason she uses the name Tina Shepard.
It's ironic that Tina accidentally releases Jason from what should have been his watery-grave
But Tina's torment from her powers is increased as Jason emerges from the lake and his reign of terror descends on the area once again.",A bit more imaginative than others in this series.
PERCHT-002040,"i live far from my parents too . it is hard sometimes
it really is ! what do you do for work ?
i am in between jobs . to be honest i cannot seem to hold one down
oh no , i hope you get one soon ! i am working in public relations
i am an alcoholic so it is very hard
i bet it is , you should get help
i am scared to . my family will not even help
oh no . i would help , i was raised buddhist and that is what we do
i need someone like you in my life . i think too much
probably medical treatment can help",i always blame myself . that is the problem
CORMOV-066185,Is this ill right?,"It'll do just fine.  Bye-bye, see you later."
CORMOV-044316,"What do you mean you didn't play with the other children?
It was on account of the birthday party.
Because you didn't ask them?  I don't blame them for being angry. Why didn't you explain what happened?
They ran away.
Why didn't you run after them?","I did.  I came to an old dark house, and a voice called to me -- a lovely, sweet voice ---"
TPCCHT-010354,"never heard of "" normalman "" . would he be considered one the of 300 registered superheros in the united states ?
haha thats a good question cuz he has not superpowers ! have you ever seen a mission impossible movie ?
yeah , i think i saw the last one . i usually try to watch those when they come out . tom cruise although a little "" kooky "" imo still is a good actor .
lol he is kind of weird , its crazy that he made 75 million for the 3rd movie
yeah , that ' s a lot of money even for an actor . i knew he did some of his own stunts but climbing the tallest building without safety equipment , that ' s crazy
that is crazy , he even hung off the side of an airplane at 5000 ft , he ' s definitely brave !
i remember the old mission impossible series with i think his name was peter graves
yes you ' re right , i remember the first movie came out in 1996 , i think that was my favorite one
yeah first one was really good . who were the "" some guys "" that pulled off a mission impossible style heist ?
haha ya i don ' t know i haven ' t herad of it , did you ever see pokemon the movie ? apparently the trailer for mission impossible 2 was first shown before that movie","i didnt know that . i never really got into pokemon . i know that it ' s really popular , just never followed it . you see that tom cruise threatened to sue that hovercraft inventor"
CORMOV-018446,"Do you have a girlfriend, Creasy?
No.
Did you used to?",Yeah. Two or three.
SWBCOH-000093,"What kind of a car do you drive now?
I drive a Honda Prelude.
Do you? I drive a Honda Accord.","Oh, yeah ."
DAILYD-011606,"Hey , Benjamin , have you finished your report on the project ?
Not yet . To tell you the truth , I don't know how to write it . I've considered it for several days .
What ? Man , you don't know how to write a project report ? That's sounds a little bit ridiculous .
Don't laugh at me , please . I'm serious . I've never been required to write this kind of report before , I only do the research reports .","Oh , sorry , I've totally forgotten that you are a workaholic ."
TPCCHT-006615,"yes . do you know how cadillac got its name ?
yes after the founder of detroit de la mothe cadillac
yes . in south africa you can put flame throwers in your car
yes that is to prevent them from carjacking
yea . do you use your phone a lot ?
yes i do . do you know why the ny area code is 212 ?
yes because is was easy to dial on a rotary phone
yeah . did you ever use a phone book ?
yes and if they get stuck together there is no separating them
yes i heard that . do you know how much power an iphone has ?",yes more than the us nuclear icbm deterrent
CMUDOG-002844,"Yeah it is. I used to work in the Alzheimer's ward at a nursing home. I've seen it firsthand but never had it in my family. He was so tender and loving. He's definitely a fan favorite for women!
I'm forgetting who the male lead is later in the movie.......he is incredible though.  I also worked in a nursing home with Alzheimer's patients.  Interesting!
Oh the old man version of him. Yes. I don't recall his name either but he was amazing! I cannot imagine what i would do in his shoes but he captured unconditional love completely.
James Garner......that's it.
I love also that it was set in the south which in my mind is an ideal location for a drama/romance film.
I agree.  Not much romance takes place up here, in Minnesota. Too cold!
Not much here in Nebraska either. I couldn't imagine it being set here.
Is there anything about the film that you would have changed?  Plotline?  Characters?
I cannot remember who played her mother but I remember thinking she wasn't right for the part. And to be honest I likely would have st it back just a tiny bit more in history maybe in the 1920s?. Joan Allen.. that's right.
That would have been more historically interesting, for sure.  Their relationship seemed to be a little volatile for my taste, at times.  I remember a couple of times in the movie when McAdams's character physically assaulted Gosling's character when they were in conflict.",I had forgotten about that! You are right.
DAILYD-012751,Hello there . Is there anything I can help you with ?,"Yes , please . 70,000 US dollars is being transferred into our account ."
MPATHY-000735,"I get a good feeling when I think back to a birthday I had when I was a kid and all of my friends and I got to see a really funny movie at the mall.
Awww!  What movie did you go to see?
Ace ventura, it was awhile back obviously
I love Jim Carrey!  I bet ya'll had a great time.",We really did
METALW-023213,"Hello how may I help you?
Can you help me open something
Sure, what can I help you with?
I need to open one of these childproof bottles so hard
Try pushing down on the cap as you twist it.
Which way do I turn - Right or left",Turn to the right
WOWIKI-002010,"I enjoy scuba diving as a hobby.  Have you ever been scuba diving?
Nope never, I get scared of being underwater in the ocean or lakes
Yeah being underwater is often scary.  I prefer to scuba dive in less deep areas.  I really enjoy scuba diving in the Florida Keys.
You know ""Scuba"" refers to the underwater breathing apparatus?
Self contained underwater breathing apparatus.  The coolest thing I ever seen while scuba diving was a hammerhead shark.
I think the biggest threat is not shark per se but the severe physical stress on the diver","Definitely have to be safe on the way towards the surface.  The ""bends"" can be deadly."
DECODE-027090,"i love horses , motorcycles and old cigars . you ?
cats are mostly what i love . are you athletic like me ?
i do a little yoga and diet for my health . you dance or sing ?
i do . have you ever broken a bone ? i never have and hope to never !
no but i cracked a tooth once . i old cars . do you ?
no i do not . have you gone to college ? i just started my freshman year .",yes i went to college but now horses are my thing . you do not like music ?
METALW-033710,"Hello how may I help you?
what kind of bot are you?
Designed to provide up to date information about world records
do you know facts about animals?
yes
is your info current and correct?
yes
ok, then tell me what the biggest snake ever was
titanoboa",where was it from?
WOWIKI-007546,"Veganism seems to be the current trend. It is quite healthy for the body
Yes it it the practice of abstaining form the use of animal products. I respect its adherents as they want to make a difference in the world.
Yes, the reduction on animal products can have environmental benefits elsewhere
Ethical vegans are those who extend the philosophy to other areas of their lives and often support animal rights.
That seems to be a pretty popular one, but many do it for health reasons, too
There are also environmental vegans that want to protect the environment and promote sustainability.","There are many of them, it seems. Less animals on farms means less methane in the atmosphere"
DECODE-006348,"I really love London, my parents are originally from there, have you ever been to England?
Not yet but had a lot about it.London is the capital and most populous city of England
Yes, its a home to a lot of landmarks, and i think the top famous city in the world! Also home to the queen!
London has been a major settlement for two millennia.
Its also the home of the most languages spoken, over 300 languages are spoken in London!
London is founded by the Romans, who named it ""Londinium"".
Interesting, in order for a person to become a black cab driver, they must complete a rigorous test called ‘The Knowledge’, which involves memorising every single street in the capital, crazy right?
It is the world's leading investment destination, hosting more",They deserve such treatment I guess.
METALW-037033,"Hello how may I help you?
i need some help deciding where to eat tonight
Okay, do you know what type of food you'd like to eat?
i've narrowed it down to italian or japanese
I'd go with japanese and find a fun Hibachi restaurant
what exactly is hibachi?
It is where the chef cooks at your table","oh wow that sounds fun, i've never bene"
METALW-030475,"Hello how may I help you?
Can I apply for a library membership?
Yes, you may. I will need your name, address, and phone number.","alright, Clark Griswald, 1313 lilac lane, hollywood Ca"
MOVDIC-016761,"You know who I am?
Sit.",And you know why I am here.
MOVDIC-036345,"Can't ... keep it up ...
Pull!
How long?
Only chance we got is ...  ... to get more distance on 'em and go to ground!
Pull!!
sprints forward.",looks over his shoulder.
TPCCHT-001698,"i agree . i heard the go fund me campaign for black panther was started by frederick joseph because he wanted to help children in harlem to watch the movie .
that is awesome , wow ! do you have other favorite comic book characters ?
i like the fantastic four a lot .
me too , those were great movies , not the new one though
i agree . i want to see more action and less talking .
that is how i felt with venom . i just watched that last night and was ehhhh about it
i wanted to see a better plot with venom . do you know who produced black panther by any chance ?
for sure , i don ' t know who produced it , do you ?
yes it was produced by marvel studios . do you know who directed it ?
i do not know who was the director , were they famous or did other marvel movies ?",i don ' t know if this director directed other movies by he did direct this one and he is ryan coogler .
WOWIKI-011097,"I want to visit Canada one day I think the only thing I know is that it is in the northern part of North america.
Yes I definitely want to see Canada one day. I don't know much about it either.
That's crazy because elations between Canada and the United States of America historically have been extensive.
Yeah I'm sure they have. I guess they just don't talk much about Canada to really know about it.",The border between Canada and the United States  the world's longest bi-national land border.
DAILYD-008625,"Sure . A UFO is just a space vehicle from another planet . If you think about it , our space shuttles are UFOs .
I've never thought about it like that before .
I've seen photos of UFOs in America before , but they've all looked doctored up .
Do you think that there's life on other planets ?
I think there must be .
Why is that ?
I don't't think it would make sense if we were the only beings in this whole world . The world is just far too big for that .
Do you think that there's intelligent life trying to contact us ?
No , but we're trying to contact them .
I suppose you're right .","I think that countries are working hard to find a planet that we can live on in the future so that when global warming destroys this planet , humankind will not become extinct ."
METALW-034785,"Hello how may I help you?
hello
hey there what can I do for you
i would like to ask some suggestions regarding my meeting this coming march 24
okay, what about it? you want to schedule it?",i would like you to name it Nomination Discussion
TPCCHT-003756,"apparently the guy who designed for jimi hendrix and aerosmith also had a knack for designing wrestling gear for macho man .
even abe lincoln is enshrined in the wrestling hall of fame
i guess he wrestled about 300 times and only lost once . that ' s impressive
that is for sure . and a guy who particpates in wrestling has the most densely muscled hands in the world
that makes a lot of sense . i wonder what percentage of wresting is competitive versus theatrical
i am not sure about that actually . do you watch much wrestling or other things on tv ?
i tend to watch a few shows , but i stream it after it airs . have you ever seen one of the over 750 episode of pokemon ?
yeah some of them . they have been in air for 16 years . that is a long time
the simpsons has a lot of episodes too ! and of all those , only one is completely absent of bart in both appearance and mention
yeah i wonder which episode that is . did you ever see that 70s show ?",i watched most of it . i heard that the uk remade it word for word . i wonder if the references went over well
CORMOV-036235,You want to go for a ride?,"Well, I got homework."
DECODE-027556,"I enjoy going fishing also, so peaceful. But gardening is my favorite hobby
Gardening can be considered relaxing, but it seems like you might be too relaxed it they plants are all dying!
I don't have a green thumb that's for sure, but I just enjoy it. Do you have any hobbies?
My favorite hobby besides gardening is horseback riding.
Horses are so beautiful, I haven't been around one since I was a kid.
Me as well and I really love the Blue Valentine and Hancock bred quarter horses.
I do not know much about them, wish I could be around them more. Would love to go riding again.
You should!  Maybe you could find a trail riding nearby or take lessons.  Horseback riding is good for the soul and balancing your body as well.
Sounds like a great plan, I need to look into it. Thanks for chatting!
Yeah you definitely should!","I've never been on a horse before, the thought alone scares me."
TPCCHT-001733,"yes , i agree we do ! astronomers detected building blocks of life in a system 455 light years away !
seems pretty useless from a practical standpoint , but the information about other planets is interesting nonetheless . there ' s a planet where shards of glass rain sideways at 4500 mph in 2000 degree weather . . . you can ' t make this stuff up !
they have gathered so much information we don ' t even know about ! the different planet uranus rotates sideways and rolls instead of spinning like the other planets !
it ' s crazy , right ? venus actually rotates clockwise and it the only planet to do so . it ' s also not on a tilt in the way earth is , so it has no seasons .
yes , so interesting , very hot planet ! 5 . 5 hours a day when the earth first formed . wouldn ' t get as much done .
well , luckily it ' s done forming and now it the densest planet in the solar system . it ' s odd to think that at the center of it is a solid core of iron when all we see is land and ice !
yes it is . the earth and the moon causes ocean tides . i love to walk the beach at night looking at the moon . its so relaxing . in the virgin islands the stars are unbelievable !
is that so ? i bet there ' s not much light pollution the way there is in more developed areas ; heck , over 80 % of earth ' s natural forests have already been destroyed .
that ' s upsetting ! i love nature and old trees that been around for 100 years wow , the earth will be helium free by the end of the 21st century !
it ' s amazing how much damage humans have done in such a short amount of time . if earth ' s entire history was 24 hours , human existence would only be 1 minute and 17 seconds long !",i was thinking about that ! our time here is so short . the united nations has appointed an ambassador to extraterrestrials in case they make contact . i wonder if they will tell us ?
DECODE-002006,"I know but it is not healthy to listen to such music
I can see your point, metal music is sometimes performed with aggression and machismo
That is true. I still love it though, even though it's not healthy
oh , i see what you are saying . yes that's a valid perspective",Thanks for understanding. Do you wear makeup?
CORMOV-049701,Four or five years.,"No, the last time was three years ago."
TPCCHT-006974,"that would make for a great morning commute ! i wish the us had systems like that .
it would certainly be less clutter than in some places in the u . s . in michigan , they have banned motorized vehicles in one area , and most travel by carriages or bikes .
i wonder how they handle emergency services there . ambulances , police and fire need to get around fast .
i ' m sure it suffers as a result . i wonder if ambulances have to pay tolls in general though . in japan , it costs over $ 300 to travel throughout the country because of tolls , i ' d hope they are exempt to it .
they should be . i think that the highways are probably free of traffic because of the expense .
it must have been easier and less expensive to travel in older times in general . the first person to travel the whole world was king kalakaua of hawaii , i wonder how much it must have cost him !
and it must have taken forever for his highness to get around .
maybe trump will decide he wants to take that much time to roam around the world too !
yeah ! anyway , thanks for the chat !
thank you too ! have a good night .",bye
PERCHT-002808,"hi there ! do you go to college ? i go part time
i do actually . i am getting my law degree
oh wow , that is cool . i really like candy , i wish i could major in that
i studied at school in chicago . where abouts do you go ?
i love chicago , i study at ucla
do you get much free time ? when i get a minute , i enjoy reading mysteries !
when i do get some free time , i like to skateboard
that is cool . i am more of a tennis player myself
tennis is cool , cant wear jeans tho , and i always wear jeans",haha ! youre right there ! i play with my siblings so it is a family thing .
TPCCHT-001494,"hello ! have you seen a star is born yet ?
no not yet , but ive heard great things about the movie what about you ?
i haven ' t seen it yet either . i was going to ask if it was any good . lol it looks good . it was up for an academy award .
i like the leading actors of the movie , bradley cooper and lady gaga , both are great actors
yes . i ' ve pretty much liked everything they ' ve ever been a part of . i believe they performed one of the songs together at the academy awards . lady gaga has become a huge star .
she has , she is young and she will continue to grow ,
yes . her name came from a predictive text glitch that changed radio to lady . i never knew that .
that sounds like an interesting story lol , thats a great name
did you know that elton john chose lady gaga as his son ' s godmother ?
no i didnt know they were close , maybe he was her mentor",i was surprised to find that out . even more surprising is that her favorite band is iron maiden !
MOVDIC-042685,"Don't worry, there's a strategy to bingo. For instance, on a given night anybody can win, but I play the odds, when choosing bingo cards, I use a range of theories from the laws of probability to avoiding duplicate number systems. This way you get much more activity.
Does it make it easier to win?","No. Just, more activity."
TPCCHT-009399,"i have not . what is it ?
garfield and his friends are super heroes . it ' s cute . there is a superhero called "" normalman "" , he lives on a planet full of superheroes , and yet he has none .
i didn ' t know they were super heroes . that ' s interesting about normalman .
who is your favorite ? mine is the winter soldier , and i think loki whines too much .
i would say i love wolverine . i saw there is a comic series about fixing collateral damage caused by superheroes .
i cannot watch a non - x men movie with hugh jackman in it , and not call him wolverine . even austrlia , and the greatest showman . i have never heard of that series , i wonder if it has normal man in it /
that ' s interesting . there are over 300 registered superheroes in the united states . not really sure what that means lol .
i can believe it , as there are always more being added to the films . i was surprised to see red skull at the end of infinity wars . i think he has a bigger role in end games . i still have trouble believing that sony purchased the rights to spiderman for $ 10 million .
i can ' t believe that either . i didn ' t think it was worth $ 10 million .
i just wish they would stop redoing the spidey movies , and come up with new content . did you know that the dc stands for detective comics ?",it was great talking with you
TPCCHT-005475,"every time a new state is added to the united states , we gain two senators .
true but that has been some time .
yes , over 50 years . if puerto rico becomes a state , we will have 102 senators",i don ' t see that happening especially with who the current president is
METALW-007935,Hello how may I help you?,I have to go about booking a skiing trip
MPATHY-005798,"I went to the park to read a book yesterday.
That sounds so relaxing.  What book did you read?
I read ""The Cat and the Hat""! It is a very intellectual and soothing book.",ha ha ha.  Its a good book for sure!
WOCHAT-000372,"Hey, what the hell?
strange, yeah?
We didn't do anything to own that land.
which land?
Which is?
I don't know.
I think it's totally weak.
may be. and how is everything?
What?
sorry",It's okay.
MELDME-001423,"Speaking of issues, isn't that your ex-wife?
No. No.
Yes, it is. Carol! Hi!
Hi.
So.
You look great. I, uh... I hate that.
Sorry. You look good too.
Ah, well, in here, anyone who... stands erect... So what's new? Still, uh...
A lesbian?
Well... you never know. How's, um.. how's the family?","Marty's still totally paranoid. Oh, and, uh-"
PERCHT-000116,"why yes and hello there !
my grandson helped me set this thing up ! i am not sure if i am doing it properly . . .
i had to switch to chrome browser for this to work properly
what is a chrome browser ? can you hear me ? i am trying to speak into this thing
we do not use the mic on this
hmm . . . i assume mic is short for microphone . so much slang with todays generation
we just role play by typing on this hit
would you like to see a picture of my grandkids ? i have so many now
we just role play by typing on this hit
oh shoot ! jacob said i could send photographs with this thing and i do not know how",sure i would love to
MOVDIC-055970,"Okay, we gotta get over there.  Can you borrow a dress from Cecile or something--
I'm not going.
Whatya mean? We're going! Tran's gonna do her right there unless--
Lenny... shutup. Just park your mouth and listen. It's a set-up. Think about it! Why's he been sending you tapes? To freak you, get you to rush in without thinking. Then they put one in you, put one in her, put the gun in your hand... crime of passion. This guy's bent enough to think of that.
That sounds right.  I'm going.
You gonna get yourself killed for this? This toxic-waste bitch!
What the fuck are you doing?!
Lenny! This is your life, Lenny! Right here. Right now. This is realtime... not playback. Real... time. Time to get real. Understand what I'm saying... she doesn't love you. Maybe she did once, I don't know, but she doesn't now. These are used emotions. It's time to trade them in.
Lenny, memories were meant to fade. They're designed that way for a reason.
Have you ever been in love with somebody who didn't return that love?",Yeah. Lenny. I have.
MOVDIC-009389,"Listen, Caroline. I'm sort of with some people tonight.
Relax, darling. Do you remember my pretty little Italian friend?
Yes. Yes, I do. Franco or Federico...
Filippo. The little shit.","Caroline, you're absolutely soused."
CORMOV-080824,Give me your wrist.,Give me a goddam break. I'm not going to go anywhere alone.
